Time,Topic,Payload
2022-05-16 10:18:46.487771,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:18:45Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":24.92,""H"":57.07,""rssi"":-58}]}'"
2022-05-16 10:19:17.673369,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:19:16Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":24.95,""H"":57.06,""rssi"":-60}]}'"
2022-05-16 10:19:47.848173,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:19:47Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":24.96,""H"":57.03,""rssi"":-58}]}'"
2022-05-16 10:19:47.869359,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:19:47Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":24.96,""H"":57.03,""rssi"":-58}]}'"
2022-05-16 10:20:17.659174,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:20:17Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":24.97,""H"":56.83,""rssi"":-59}]}'"
2022-05-16 10:20:17.662169,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:20:17Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":24.97,""H"":56.83,""rssi"":-59}]}'"
2022-05-16 10:20:47.385512,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:20:47Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":24.99,""H"":56.79,""rssi"":-57}]}'"
2022-05-16 10:21:18.499095,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:21:17Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.02,""H"":56.72,""rssi"":-60}]}'"
2022-05-16 10:21:18.502098,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:21:17Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.02,""H"":56.72,""rssi"":-60}]}'"
2022-05-16 10:21:47.974483,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:21:46Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.03,""H"":56.71,""rssi"":-58}]}'"
2022-05-16 10:21:47.974483,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:21:46Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.03,""H"":56.71,""rssi"":-58}]}'"
2022-05-16 10:22:23.297418,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:22:22Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":24.98,""H"":56.73,""rssi"":-58}]}'"
2022-05-16 10:22:52.649948,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:22:51Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.02,""H"":56.75,""rssi"":-56}]}'"
2022-05-16 10:22:52.657130,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:22:51Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.02,""H"":56.75,""rssi"":-56}]}'"
2022-05-16 10:23:22.443663,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:23:21Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.04,""H"":56.70,""rssi"":-56}]}'"
2022-05-16 10:23:22.457845,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:23:21Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.04,""H"":56.70,""rssi"":-56}]}'"
2022-05-16 10:23:52.204622,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:23:50Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.05,""H"":56.80,""rssi"":-57}]}'"
2022-05-16 10:24:22.547643,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:24:21Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.07,""H"":56.63,""rssi"":-58}]}'"
2022-05-16 10:24:22.550634,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:24:21Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.07,""H"":56.63,""rssi"":-58}]}'"
2022-05-16 10:24:51.830053,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:24:50Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.10,""H"":56.70,""rssi"":-58}]}'"
2022-05-16 10:24:51.830053,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:24:50Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.10,""H"":56.70,""rssi"":-58}]}'"
2022-05-16 10:25:21.600332,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:25:21Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.13,""H"":56.68,""rssi"":-59}]}'"
2022-05-16 10:25:21.618920,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:25:21Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.13,""H"":56.68,""rssi"":-59}]}'"
2022-05-16 10:25:51.472279,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:25:50Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.17,""H"":56.58,""rssi"":-58}]}'"
2022-05-16 10:26:21.242076,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:26:20Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.16,""H"":56.53,""rssi"":-56}]}'"
2022-05-16 10:26:21.254767,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:26:20Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.16,""H"":56.53,""rssi"":-56}]}'"
2022-05-16 10:26:56.101252,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:26:55Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.14,""H"":56.52,""rssi"":-57}]}'"
2022-05-16 10:26:56.102255,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:26:55Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.14,""H"":56.52,""rssi"":-57}]}'"
2022-05-16 10:27:25.808770,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:27:25Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.12,""H"":56.52,""rssi"":-59}]}'"
2022-05-16 10:27:25.811124,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:27:25Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.12,""H"":56.52,""rssi"":-59}]}'"
2022-05-16 10:27:56.027801,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:27:55Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.15,""H"":56.79,""rssi"":-57}]}'"
2022-05-16 10:27:56.032801,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:27:55Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.15,""H"":56.79,""rssi"":-57}]}'"
2022-05-16 10:28:25.469110,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:28:25Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.20,""H"":56.87,""rssi"":-58}]}'"
2022-05-16 10:28:55.521810,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:28:54Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.20,""H"":56.87,""rssi"":-57}]}'"
2022-05-16 10:28:55.521810,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:28:54Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.20,""H"":56.87,""rssi"":-57}]}'"
2022-05-16 10:29:25.589239,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:29:24Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.24,""H"":56.85,""rssi"":-56}]}'"
2022-05-16 10:29:25.593475,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:29:24Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.24,""H"":56.85,""rssi"":-56}]}'"
2022-05-16 10:29:55.984799,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:29:54Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.26,""H"":56.74,""rssi"":-58}]}'"
