time,anchor_id,tag_id,Temperature,Humidity,rssi
2022-05-16 10:52:32.289998,84CCA8550D40,ac:23:3f:4e:6b:57,25.7,56.75,-58
2022-05-16 10:53:02.257370,84CCA8550D40,ac:23:3f:4e:6b:57,25.61,56.27,-59
2022-05-16 10:53:31.901607,84CCA8550D40,ac:23:3f:4e:6b:57,25.62,56.71,-58
2022-05-16 10:54:01.565532,84CCA8550D40,ac:23:3f:4e:6b:57,25.57,56.45,-56
2022-05-16 10:54:36.488274,84CCA8550D40,ac:23:3f:4e:6b:57,25.55,56.67,-56
2022-05-16 10:55:06.473042,84CCA8550D40,ac:23:3f:4e:6b:57,25.55,56.84,-56
2022-05-16 10:55:35.970557,84CCA8550D40,ac:23:3f:4e:6b:57,25.59,56.84,-58
2022-05-16 10:56:06.010657,84CCA8550D40,ac:23:3f:4e:6b:57,25.64,56.77,-58
2022-05-16 10:56:35.719282,84CCA8550D40,ac:23:3f:4e:6b:57,25.68,56.55,-58
2022-05-16 10:57:05.797481,84CCA8550D40,ac:23:3f:4e:6b:57,25.71,56.61,-58
2022-05-16 10:57:35.269194,84CCA8550D40,ac:23:3f:4e:6b:57,25.69,56.7,-57
2022-05-16 10:58:05.286866,84CCA8550D40,ac:23:3f:4e:6b:57,25.71,56.64,-57
2022-05-16 11:23:59.493866,84CCA8550D40,ac:23:3f:4e:6b:57,26.09,55.31,-76
2022-05-16 11:24:29.504360,84CCA8550D40,ac:23:3f:4e:6b:57,25.95,54.75,-75
2022-05-16 11:24:58.988966,84CCA8550D40,ac:23:3f:4e:6b:57,25.87,55.16,-71
2022-05-16 11:25:28.860793,84CCA8550D40,ac:23:3f:4e:6b:57,25.8,55.03,-72
2022-05-16 11:25:59.038961,84CCA8550D40,ac:23:3f:4e:6b:57,25.69,54.83,-69
2022-05-16 11:26:28.601563,84CCA8550D40,ac:23:3f:4e:6b:57,25.66,55.29,-69
2022-05-16 11:26:58.183372,84CCA8550D40,ac:23:3f:4e:6b:57,25.59,55.36,-69
2022-05-16 11:27:27.897857,84CCA8550D40,ac:23:3f:4e:6b:57,25.55,55.45,-66
2022-05-16 11:28:06.702518,84CCA8550D40,ac:23:3f:4e:6b:57,25.5,56.07,-59
2022-05-16 11:28:36.266073,84CCA8550D40,ac:23:3f:4e:6b:57,25.5,56.08,-59
2022-05-16 11:43:45.421330,84CCA8550D40,ac:23:3f:4e:6b:57,25.14,56.74,-57
2022-05-16 11:44:15.238628,84CCA8550D40,ac:23:3f:4e:6b:57,25.16,57.01,-59
2022-05-16 11:44:45.187187,84CCA8550D40,ac:23:3f:4e:6b:57,25.18,57.0,-58
2022-05-16 11:46:14.407894,84CCA8550D40,ac:23:3f:4e:6b:57,25.24,56.96,-58
2022-05-16 11:46:44.416207,84CCA8550D40,ac:23:3f:4e:6b:57,25.21,56.61,-59
2022-05-16 11:47:19.536108,84CCA8550D40,ac:23:3f:4e:6b:57,25.06,56.75,-59
2022-05-16 11:47:50.559596,84CCA8550D40,ac:23:3f:4e:6b:57,25.04,56.75,-58
2022-05-16 11:48:14.812952,84CCA8550D40,ac:23:3f:4e:6b:57,24.99,56.97,-60
2022-05-16 11:48:49.406998,84CCA8550D40,ac:23:3f:4e:6b:57,24.9,56.91,-57
2022-05-16 11:49:20.780915,84CCA8550D40,ac:23:3f:4e:6b:57,24.86,56.96,-59
2022-05-16 11:49:50.469832,84CCA8550D40,ac:23:3f:4e:6b:57,24.79,57.17,-59
2022-05-16 11:50:20.035598,84CCA8550D40,ac:23:3f:4e:6b:57,24.8,57.4,-59
2022-05-16 11:50:49.881055,84CCA8550D40,ac:23:3f:4e:6b:57,24.74,56.94,-59
2022-05-16 11:51:19.573903,84CCA8550D40,ac:23:3f:4e:6b:57,24.66,56.65,-59
2022-05-16 11:51:49.992599,84CCA8550D40,ac:23:3f:4e:6b:57,24.65,57.08,-57
2022-05-16 11:52:19.150287,84CCA8550D40,ac:23:3f:4e:6b:57,24.65,56.56,-59
